phi1 Phi phi2 x y
332.800000 40.700000 209.000000 15 1
332.800000 40.700000 209.000000 15 2
123.000000 2.400000 86.500000 15 3
46.400000 34.600000 54.700000 15 4
46.400000 34.600000 54.700000 15 5
42.700000 134.000000 111.600000 15 6
42.700000 134.000000 111.600000 15 7
156.300000 100.000000 203.900000 15 8
156.300000 100.000000 203.900000 15 9
156.300000 100.000000 203.900000 15 10
204.200000 70.200000 356.000000 15 11
336.800000 120.100000 215.600000 15 12
336.800000 120.100000 215.600000 15 13
63.000000 122.500000 16.400000 15 14
63.000000 122.500000 16.400000 15 15
332.800000 40.700000 209.000000 15 16
332.800000 40.700000 209.000000 16 1
123.000000 2.400000 86.500000 16 2
123.000000 2.400000 86.500000 16 3
154.400000 79.400000 185.500000 16 4
154.400000 79.400000 185.500000 16 5
66.800000 85.800000 80.600000 16 6
42.700000 134.000000 111.600000 16 7
42.700000 134.000000 111.600000 16 8
43.400000 58.000000 90.700000 16 9
43.400000 58.000000 90.700000 16 10
204.200000 70.200000 356.000000 16 11
204.200000 70.200000 356.000000 16 12
336.800000 120.100000 215.600000 16 13
14.000000 147.700000 233.300000 16 14
14.000000 147.700000 233.300000 16 15
332.800000 40.700000 209.000000 16 16
